"network,demo,rejected_in_staging,production,current_prod,push_to_staging,run_data_layers,data_version,model_type,date_added,datetime,cycle,cycle_year,refresh,model_version,model_number,model_previous_version,model_mlflow_id,current_cycle,current_cycle_year,model_hierarchy,forecast_data,forecast_start_date,forecast_end_date,stream,time_id,extra_keep_cols,extra_group_by_cols,remove_group_by_cols,filter_sl_nt_daypart,filter_hh_nt_daypart,filter_program_type,filter_show_name,filter_date,filter_half_hr,filter_cols,extra_agg_group_by_cols,remove_agg_group_by_cols,create_additional_cols,method,log_transformation,boxcox,arima_p,arima_d,arima_q,seasonal_p,seasonal_d,seasonal_q,arima_period,changepoints,regressors,forecast_rule,library_version,additional_features,latest_base_data,model_detail_id,rejected_date"
"BRVO,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0653,B,2020,LRP,L2,1,BRVO_A18-49_06252019_2100_R2019_L1.1,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,LateNight,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,2,4,0,4,1,0,1,52,6/15/2015,""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,trend"",,,,,,"
"BRVO,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0657,B,2020,LRP,L2,1,BRVO_A18-49_06252019_2100_R2019_L1.2,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,EarlyMorning,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,1.82,4,0,0,1,0,1,52,6/15/2015,""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Memorial_Day_week_ind,Independence_Day_week_ind,Halloween_week_ind,Thanksgiving_week_ind,Thanksgiving_week_aft_ind,Christmas_week_bfr_ind,Christmas_week_ind,New_Years_Eve_week_ind,trend"",,,,,,"
"BRVO,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0709,B,2020,LRP,L2,1,BRVO_A18-49_06252019_2100_R2019_L1.3,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,Weekday,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,2,3,0,2,1,0,0,52,""2015-06-15,2017-01-02"",""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Memorial_Day_week_ind,Independence_Day_week_ind,Halloween_week_ind,Thanksgiving_week_ind,Thanksgiving_week_aft_ind,Christmas_week_bfr_ind,Christmas_week_ind,New_Years_Eve_week_ind,trend"",,,,,,"
"BRVO,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0721,B,2020,LRP,L2,1,BRVO_A18-49_06252019_2100_R2019_L1.4,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,Access,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,-1,4,0,4,1,0,1,52,""2015-04-06,2017-01-23"",""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Memorial_Day_week_ind,Independence_Day_week_ind,Halloween_week_ind,Thanksgiving_week_ind,Thanksgiving_week_aft_ind,Christmas_week_bfr_ind,Christmas_week_ind,New_Years_Eve_week_ind,trend"",,,,,,"
"BRVO,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0728,B,2020,LRP,L2,1,BRVO_A18-49_06252019_2100_R2019_L1.5,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,Weekend,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,0,0.52,4,0,4,1,0,1,52,5/26/2014,""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Memorial_Day_week_ind,Independence_Day_week_ind,Halloween_week_ind,Thanksgiving_week_ind,Thanksgiving_week_aft_ind,Christmas_week_bfr_ind,Christmas_week_ind,New_Years_Eve_week_ind,trend"",,,,,,"
"BRVO,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0744,B,2020,LRP,L2,1,BRVO_A18-49_06252019_2100_R2019_L1.6,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,SalesPrime,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,2,3,0,4,1,0,0,52,3/23/2015,""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Memorial_Day_week_ind,Independence_Day_week_ind,Halloween_week_ind,Thanksgiving_week_ind,Thanksgiving_week_aft_ind,Christmas_week_bfr_ind,Christmas_week_ind,New_Years_Eve_week_ind,trend"",,,,,,"
"ENT,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0750,B,2020,LRP,L2,1,ENT_A18-49_07012019_1700_R2019_L1.1,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,Afternoon,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,-0.58,2,0,1,1,0,0,52,3/13/2017,""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Memorial_Day_week_ind,Independence_Day_week_ind,Halloween_week_ind,Thanksgiving_week_ind,Thanksgiving_week_aft_ind,Christmas_week_bfr_ind,Christmas_week_ind,New_Years_Eve_week_ind,trend"",,,,,,"
"ENT,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0756,B,2020,LRP,L2,1,ENT_A18-49_07012019_1700_R2019_L1.2,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,Morning,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,-1,4,0,0,1,0,1,52,""2015-01-26,2018-09-24"",""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Memorial_Day_week_ind,Independence_Day_week_ind,Halloween_week_ind,Thanksgiving_week_ind,Thanksgiving_week_aft_ind,Christmas_week_bfr_ind,Christmas_week_ind,New_Years_Eve_week_ind,trend"",,,,,,"
"ENT,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0807,B,2020,LRP,L2,1,ENT_A18-49_07012019_1700_R2019_L1.3,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,LateNight,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,-1,2,0,2,1,0,1,52,""2014-09-01,2016-10-10"",""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Memorial_Day_week_ind,Independence_Day_week_ind,Halloween_week_ind,Thanksgiving_week_ind,Thanksgiving_week_aft_ind,Christmas_week_bfr_ind,Christmas_week_ind,New_Years_Eve_week_ind,trend"",,,,,,"
"ENT,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0820,B,2020,LRP,L2,1,ENT_A18-49_07012019_1700_R2019_L1.4,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,SalesPrime,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,-1,2,0,2,1,0,0,52,2/27/2017,""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Memorial_Day_week_ind,Independence_Day_week_ind,Halloween_week_ind,Thanksgiving_week_ind,Thanksgiving_week_aft_ind,Christmas_week_bfr_ind,Christmas_week_ind,New_Years_Eve_week_ind,trend"",,,,,,"
"ENT,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0824,B,2020,LRP,L2,1,ENT_A18-49_07012019_1700_R2019_L1.5,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,Weekend,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,1.19,4,0,2,1,0,0,52,,""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Thanksgiving_week_aft_ind,Christmas_week_bfr_ind,trend"",,,,,,"
"OXYG,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0836,B,2020,LRP,L2,1,OXYG_A18-49_06262019_1400_R2019_L1.1,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,Access,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,2,4,0,3,1,0,0,52,""2014-03-03,2016-12-26"",""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Memorial_Day_week_ind,Independence_Day_week_ind,Halloween_week_ind,Thanksgiving_week_ind,Thanksgiving_week_aft_ind,Christmas_week_bfr_ind,Christmas_week_ind,New_Years_Eve_week_ind,LS_Jan_2017,LS_Jan_2015,trend"",,,,,,"
"OXYG,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0846,B,2020,LRP,L2,1,OXYG_A18-49_06262019_1400_R2019_L1.2,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,Daytime,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,2,3,0,3,1,0,0,52,,""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Memorial_Day_week_ind,Independence_Day_week_ind,Halloween_week_ind,Thanksgiving_week_ind,Thanksgiving_week_aft_ind,Christmas_week_bfr_ind,Christmas_week_ind,New_Years_Eve_week_ind,trend"",,,,,,"
"OXYG,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0850,B,2020,LRP,L2,1,OXYG_A18-49_06262019_1400_R2019_L1.3,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,EarlyMorning,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,0,0.11,3,0,4,1,0,0,52,,""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Memorial_Day_week_ind,Independence_Day_week_ind,Halloween_week_ind,Thanksgiving_week_ind,Thanksgiving_week_aft_ind,Christmas_week_bfr_ind,Christmas_week_ind,New_Years_Eve_week_ind,LS_Jan_2017,LS_Jan_2015,trend"",,,,,,"
"OXYG,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0901,B,2020,LRP,L2,1,OXYG_A18-49_06262019_1400_R2019_L1.4,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,LateNight,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,2,4,0,4,1,0,0,52,9/29/2014,""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Easter_week_ind,Halloween_week_ind,LS_Jan_2017,LS_Jan_2015,trend"",,,,,,"
"OXYG,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0915,B,2020,LRP,L2,1,OXYG_A18-49_06262019_1400_R2019_L1.5,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,SalesPrime,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,2,2,0,3,1,0,1,52,3/30/2015,""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Christmas_week_ind,LS_Jan_2015,LS_Q2_2015,trend"",,,,,,"
"OXYG,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0921,B,2020,LRP,L2,1,OXYG_A18-49_06262019_1400_R2019_L1.6,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,Weekend,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,-1,2,0,2,1,0,0,52,,""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Nov,Dec,Memorial_Day_week_ind,Halloween_week_ind,LS_Jan_2017,LS_Jan_2015,trend"",,,,,,"
"SYFY,A18-49,0,0,0,0,1,20W021,DP_ALL_W,3/31/2020,03312020_0933,B,2020,LRP,L2,1,SYFY_A18-49_06272019_1700_R2019_L1.1,,,,""HH_NT_DAYPART, WEEK"",,,,L_Imps,Week,,,,,Daytime,,,(Date; >= ; '2014-01-01'),,,,,,ARIMA,1,2,4,0,3,1,0,1,52,""2016-01-25,2018-01-08"",""intercept,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Oct,Nov,Dec,Memorial_Day_week_ind,Thanksgiving_week_ind,Christmas_week_ind,New_Years_Eve_week_ind,trend"",,,,,,"
