"","NETWORK","DEMO","LAST_UPDATE","LATEST_BASE_DATA","FORECAST_DATA","TIME_ID","BROADCAST_YEAR","CABLE_QTR","QTRYEAR","HH_NT_DAYPART","STREAM","ACTUAL","PREDICT_LS","LAST_ACTUAL","BROADCAST_WEEK","BROADCAST_DATE","L_DUR"
"1","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"3Q","2012-3Q","Access","L_Imps",105390.233333333,105390.243333333,2020-03-31,2012-09-03,2012-09-03,900
"2","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"3Q","2012-3Q","Access","L_Imps",111958.633333333,111958.643333334,2020-03-31,2012-09-10,2012-09-10,900
"3","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"3Q","2012-3Q","Access","L_Imps",100961.366666667,100961.376666666,2020-03-31,2012-09-17,2012-09-17,900
"4","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"3Q","2012-3Q","Access","L_Imps",81592.4666666667,81592.476666667,2020-03-31,2012-09-24,2012-09-24,900
"5","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"4Q","2012-4Q","Access","L_Imps",98849.3333333333,98849.3433333338,2020-03-31,2012-10-01,2012-10-01,900
"6","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"4Q","2012-4Q","Access","L_Imps",70725.4666666667,70725.4766666668,2020-03-31,2012-10-08,2012-10-08,900
"7","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"4Q","2012-4Q","Access","L_Imps",88417.0333333333,88417.0433333335,2020-03-31,2012-10-15,2012-10-15,900
"8","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"4Q","2012-4Q","Access","L_Imps",99334.2,99334.2100000001,2020-03-31,2012-10-22,2012-10-22,900
"9","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"4Q","2012-4Q","Access","L_Imps",88706.9,88706.9100000006,2020-03-31,2012-10-29,2012-10-29,900
"10","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"4Q","2012-4Q","Access","L_Imps",81954.1666666667,81954.1766666664,2020-03-31,2012-11-05,2012-11-05,900
"11","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"4Q","2012-4Q","Access","L_Imps",79571.5666666667,79571.5766666665,2020-03-31,2012-11-12,2012-11-12,900
"12","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"4Q","2012-4Q","Access","L_Imps",111413.5,111413.51,2020-03-31,2012-11-19,2012-11-19,900
"13","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"4Q","2012-4Q","Access","L_Imps",96033,96033.0100000001,2020-03-31,2012-11-26,2012-11-26,900
"14","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"4Q","2012-4Q","Access","L_Imps",61911.3,61911.31,2020-03-31,2012-12-03,2012-12-03,900
"15","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"4Q","2012-4Q","Access","L_Imps",77970.8333333333,77970.8433333336,2020-03-31,2012-12-10,2012-12-10,900
"16","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"4Q","2012-4Q","Access","L_Imps",67180.4,67180.4100000002,2020-03-31,2012-12-17,2012-12-17,900
"17","OXYG","A18-49",2020-06-19,NA,NA,"Week",2012,"4Q","2012-4Q","Access","L_Imps",82290.9,82290.9100000001,2020-03-31,2012-12-24,2012-12-24,900
"18","OXYG","A18-49",2020-06-19,NA,NA,"Week",2013,"1Q","2013-1Q","Access","L_Imps",117509.666666667,117509.676666667,2020-03-31,2012-12-31,2012-12-31,900
"19","OXYG","A18-49",2020-06-19,NA,NA,"Week",2013,"1Q","2013-1Q","Access","L_Imps",97868.6,97868.6099999999,2020-03-31,2013-01-07,2013-01-07,900
"20","OXYG","A18-49",2020-06-19,NA,NA,"Week",2013,"1Q","2013-1Q","Access","L_Imps",71396.4333333333,71396.4433333333,2020-03-31,2013-01-14,2013-01-14,900
"21","OXYG","A18-49",2020-06-19,NA,NA,"Week",2013,"1Q","2013-1Q","Access","L_Imps",101279.8,101279.81,2020-03-31,2013-01-21,2013-01-21,900
"22","OXYG","A18-49",2020-06-19,NA,NA,"Week",2013,"1Q","2013-1Q","Access","L_Imps",86770.6333333333,86770.6433333338,2020-03-31,2013-01-28,2013-01-28,900
